section_id,part_id,revision,sequence,section_type,orientation,page_extent,margin_top_cm,margin_bottom_cm,margin_inner_cm,text_block_width_cm,widest_table_cm,body_font_name,body_font_size_pt,heading_font_name,heading_font_size_pt,leading_unit,leading_value,float_count,caption_count,page_number_style
SEC-CH12,PART-04,1,23,body,portrait,7,2.0,2.0,2.8,16.2,,Times New Roman,12.0,Times New Roman,13.0,mm,6.65,3,1,arabic
SEC-AN-08,PART-06,1,36,annex,landscape,5,2.0,2.0,3.0,25.5,26.5,Times New Roman,12.0,Times New Roman,13.0,pt,18.0,8,5,arabic
SEC-CH01,PART-01,1,9,body,portrait,12,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,arabic
SEC-AN-04,PART-06,1,32,annex,portrait,7,2.0,2.0,3.0,16.0,20.0,Times New Roman,12.0,Times New Roman,13.0,pt,18.0,0,0,arabic
SEC-CH06,PART-03,1,16,body,portrait,11,2.0,2.0,3.0,16.0,,Times New Roman,12.0,Times New Roman,13.0,pt,18.0,0,0,arabic
SEC-INDEX,PART-05,1,28,back_matter,portrait,5,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,7,4,arabic
SEC-AN-05,PART-06,1,33,annex,landscape,5,2.0,2.0,3.0,25.7,27.0,Courier New,12.0,Times New Roman,13.0,pt,18.0,0,0,arabic
SEC-LOF,PART-00,1,6,front_matter,portrait,2,2.5,2.5,3.0,16.1,,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,roman
SEC-CH10,PART-04,1,21,body,portrait,9,2.0,2.0,3.0,16.0,,Times New Roman,12.0,Cambria,13.0,pt,18.0,0,0,arabic
SEC-AN-16,PART-07,1,44,annex,portrait,4,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,arabic
SEC-AN-03,PART-06,1,31,annex,landscape,4,2.0,2.0,3.0,25.1,24.4,Times New Roman,12.0,Times New Roman,13.0,pt,18.0,0,0,arabic
SEC-GLOSSARY,PART-05,2,26,back_matter,portrait,6,2.4,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,mm,5.6,0,0,arabic
SEC-CH04,PART-02,1,13,body,portrait,9,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Cambria,14.0,pt,18.0,6,4,arabic
SEC-CH14,PART-02,1,15,body,portrait,7,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,arabic
SEC-AN-14,PART-07,1,43,annex,portrait,5,2.5,2.5,2.6,15.9,,Nimbus Roman No9 L,12.0,Nimbus Roman No9 L,14.0,pt,18.0,4,2,roman
SEC-AN-10,PART-07,1,39,annex,landscape,3,2.5,2.5,2.85,24.95,24.1,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,5,2,arabic
SEC-CH13,PART-01,1,11,body,landscape,6,2.5,2.5,3.0,25.1,26.0,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,arabic
SEC-CH08,PART-03,2,18,body,portrait,12,2.0,2.0,3.0,16.05,,Times New Roman,12.0,Times New Roman,12.5,pt,18.0,0,0,arabic
SEC-AN-12,PART-07,1,41,annex,landscape,4,2.5,2.5,3.0,25.2,25.0,TimesNewRomanPSMT,12.0,TimesNewRomanPSMT,14.0,pt,18.0,0,0,arabic
